Probe_ID	Gene_Symbol
3120598	AKR1C4
1400066	AKR1CL1
6940278	AKR1CL1
1770341	AKR1D1
5860347	AKR1D1
5720372	AKR1E2
6180681	AKR7A2
70484	AKR7A3
270300	AKR7A3
840039	AKR7L
2470619	AKT1
6200431	AKT1
7210424	AKT1
3870092	AKT1S1
5570041	AKT2
2570044	AKT3
5220307	AKT3
5490246	AKT3
5870561	AKT3
4480338	AKTIP
5720703	AKTIP
2070397	ALAD
3120162	ALAD
6020592	ALAD
5220097	ALAS1
5860278	ALAS1
7150014	ALAS1
1230376	ALAS2
4180768	ALAS2
5270338	ALAS2
4230156	ALB
5910010	ALB
2070575	ALCAM
940441	ALDH16A1
2370255	ALDH18A1
1070477	ALDH1A1
6510754	ALDH1A1
510687	ALDH1A2
5700102	ALDH1A2
2360551	ALDH1A3
4920148	ALDH1A3
1240379	ALDH1B1
2650204	ALDH1B1
6660341	ALDH1L1
1980747	ALDH1L2
4250411	ALDH1L2
840253	ALDH2
5560369	ALDH3A1
460746	ALDH3A2
1690608	ALDH3A2
3120196	ALDH3A2
1850440	ALDH3B1
2970356	ALDH3B1
2360201	ALDH3B2
2970039	ALDH3B2
4070647	ALDH3B2
160343	ALDH4A1
1470427	ALDH4A1
2640273	ALDH4A1
6220360	ALDH4A1
2640274	ALDH5A1
7040327	ALDH5A1
5820373	ALDH6A1
7100274	ALDH6A1
70102	ALDH7A1
4150544	ALDH7A1
2100546	ALDH8A1
6370138	ALDH8A1
7400541	ALDH8A1
1820044	ALDH9A1
2470341	ALDOA
2640088	ALDOA
2850255	ALDOA
6590253	ALDOA
650427	ALDOB
7330544	ALDOC
5560670	ALG1
3140711	ALG10
1110241	ALG10B
3060196	ALG10B
5310524	ALG10B
4210358	ALG11
5550647	ALG11
6940735	ALG12
730520	ALG13
6660411	ALG13
50128	ALG14
2340524	ALG14
1440474	ALG1L
2900681	ALG1L
1990021	ALG2
4540025	ALG2
2140427	ALG3
2650167	ALG3
6370113	ALG5
6960243	ALG6
2970296	ALG8
3610291	ALG8
4850632	ALG8
450204	ALG9
6250431	ALK
1780020	ALKBH1
3360056	ALKBH1
7160167	ALKBH1
1340537	ALKBH2
4610369	ALKBH3
1780379	ALKBH4
1400209	ALKBH5
670360	ALKBH6
3310324	ALKBH7
6420044	ALKBH8
2100465	ALLC
4060639	ALLC
4070601	ALLC
5130736	ALMS1
7210050	ALMS1P
6040259	ALOX12
7510671	ALOX12B
1770630	ALOX12P2
5130427	ALOX12P2
20397	ALOX15
1230722	ALOX15
1450719	ALOX15
5220278	ALOX15
430152	ALOX15B
2900639	ALOX15B
5810154	ALOX15B
1780273	ALOX5
2510037	ALOX5
4560670	ALOX5
3930343	ALOX5AP
990685	ALOXE3
2570162	ALPI
540390	ALPK1
5270519	ALPK2
5810017	ALPK3
6100356	ALPL
2600133	ALPP
2490376	ALPPL2
2140156	ALS2
4060037	ALS2CL
4570630	ALS2CL
4760487	ALS2CL
1450431	ALS2CR11
2100626	ALS2CR12
6940709	ALS2CR14
50132	ALS2CR16
50348	ALS2CR4
2100286	ALS2CR8
110521	ALX1
3520619	ALX3
6250762	ALX3
4230358	ALX4
1690187	AMAC1
2850278	AMAC1L1
2600022	AMAC1L2
6400661	AMAC1L2
6550360	AMAC1L2
5050167	AMAC1L3
520544	AMACR
3130154	AMACR
5870286	AMACR
1190678	AMBN
5960743	AMBN
6400438	AMBN
6450037	AMBN
4900433	AMBP
1110129	AMBRA1
50050	AMD1
3870619	AMD1
6520112	AMDHD1
6110280	AMDHD2
5720730	AMELX
7040402	AMELY
1400672	AMFR
4610594	AMFR
3780156	AMH
5420152	AMHR2
1580465	AMICA1
4730598	AMIGO1
7100053	AMIGO2
3060349	AMIGO3
450176	AMMECR1
2340601	AMMECR1
7100093	AMMECR1
4900605	AMMECR1L
1110706	AMN
6900044	AMN1
3290646	AMOT
2070301	AMOTL1
6960079	AMOTL2
6660114	AMPD1
70296	AMPD2
1170474	AMPD2
6940132	AMPD2
150504	AMPD3
990576	AMPD3
2810072	AMPD3
7150390	AMPD3
360402	AMPH
4040152	AMPH
940450	AMT
7320450	AMTN
1030161	AMY1A
1740220	AMY1A
